Breed,Trait,Trait_Score
Retrievers (Labrador),Affectionate With Family,5
Retrievers (Labrador),Good With Young Children,5
Retrievers (Labrador),Good With Other Dogs,5
Retrievers (Labrador),Shedding Level,4
Retrievers (Labrador),Coat Grooming Frequency,2
Retrievers (Labrador),Drooling Level,2
Retrievers (Labrador),Coat Type,Double
Retrievers (Labrador),Coat Length,Short
Retrievers (Labrador),Openness To Strangers,5
Retrievers (Labrador),Playfulness Level,5
Retrievers (Labrador),Watchdog/Protective Nature,3
Retrievers (Labrador),Adaptability Level,5
Retrievers (Labrador),Trainability Level,5
Retrievers (Labrador),Energy Level,5
Retrievers (Labrador),Barking Level,3
Retrievers (Labrador),Mental Stimulation Needs,4
French Bulldogs,Affectionate With Family,5
French Bulldogs,Good With Young Children,5
French Bulldogs,Good With Other Dogs,4
French Bulldogs,Shedding Level,3
French Bulldogs,Coat Grooming Frequency,1
French Bulldogs,Drooling Level,3
French Bulldogs,Coat Type,Smooth
French Bulldogs,Coat Length,Short
French Bulldogs,Openness To Strangers,5
French Bulldogs,Playfulness Level,5
French Bulldogs,Watchdog/Protective Nature,3
French Bulldogs,Adaptability Level,5
French Bulldogs,Trainability Level,4
French Bulldogs,Energy Level,3
French Bulldogs,Barking Level,1
French Bulldogs,Mental Stimulation Needs,3
German Shepherd Dogs,Affectionate With Family,5
German Shepherd Dogs,Good With Young Children,5
German Shepherd Dogs,Good With Other Dogs,3
German Shepherd Dogs,Shedding Level,4
German Shepherd Dogs,Coat Grooming Frequency,2
German Shepherd Dogs,Drooling Level,2
German Shepherd Dogs,Coat Type,Double
German Shepherd Dogs,Coat Length,Medium
German Shepherd Dogs,Openness To Strangers,3
German Shepherd Dogs,Playfulness Level,4
German Shepherd Dogs,Watchdog/Protective Nature,5
German Shepherd Dogs,Adaptability Level,5
German Shepherd Dogs,Trainability Level,5
German Shepherd Dogs,Energy Level,5
German Shepherd Dogs,Barking Level,3
German Shepherd Dogs,Mental Stimulation Needs,5
Retrievers (Golden),Affectionate With Family,5
Retrievers (Golden),Good With Young Children,5
Retrievers (Golden),Good With Other Dogs,5
Retrievers (Golden),Shedding Level,4
Retrievers (Golden),Coat Grooming Frequency,2
Retrievers (Golden),Drooling Level,2
Retrievers (Golden),Coat Type,Double
Retrievers (Golden),Coat Length,Medium
Retrievers (Golden),Openness To Strangers,5
Retrievers (Golden),Playfulness Level,4
Retrievers (Golden),Watchdog/Protective Nature,3
Retrievers (Golden),Adaptability Level,5
Retrievers (Golden),Trainability Level,5
Retrievers (Golden),Energy Level,3
Retrievers (Golden),Barking Level,1
Retrievers (Golden),Mental Stimulation Needs,4
Bulldogs,Affectionate With Family,4
Bulldogs,Good With Young Children,3
Bulldogs,Good With Other Dogs,3
Bulldogs,Shedding Level,3
Bulldogs,Coat Grooming Frequency,3
Bulldogs,Drooling Level,3
Bulldogs,Coat Type,Smooth
Bulldogs,Coat Length,Short
Bulldogs,Openness To Strangers,4
Bulldogs,Playfulness Level,4
Bulldogs,Watchdog/Protective Nature,3
Bulldogs,Adaptability Level,3
Bulldogs,Trainability Level,4
Bulldogs,Energy Level,3
Bulldogs,Barking Level,2
Bulldogs,Mental Stimulation Needs,3
Poodles,Affectionate With Family,5
Poodles,Good With Young Children,5
Poodles,Good With Other Dogs,3
Poodles,Shedding Level,1
Poodles,Coat Grooming Frequency,4
Poodles,Drooling Level,1
Poodles,Coat Type,Curly
Poodles,Coat Length,Long
Poodles,Openness To Strangers,5
Poodles,Playfulness Level,5
Poodles,Watchdog/Protective Nature,5
Poodles,Adaptability Level,4
Poodles,Trainability Level,5
Poodles,Energy Level,4
Poodles,Barking Level,4
Poodles,Mental Stimulation Needs,5
Beagles,Affectionate With Family,3
Beagles,Good With Young Children,5
Beagles,Good With Other Dogs,5
Beagles,Shedding Level,3
Beagles,Coat Grooming Frequency,2
Beagles,Drooling Level,1
Beagles,Coat Type,Smooth
Beagles,Coat Length,Short
Beagles,Openness To Strangers,3
Beagles,Playfulness Level,4
Beagles,Watchdog/Protective Nature,2
Beagles,Adaptability Level,4
Beagles,Trainability Level,3
Beagles,Energy Level,4
Beagles,Barking Level,4
Beagles,Mental Stimulation Needs,4
Rottweilers,Affectionate With Family,5
Rottweilers,Good With Young Children,3
Rottweilers,Good With Other Dogs,3
Rottweilers,Shedding Level,3
Rottweilers,Coat Grooming Frequency,1
Rottweilers,Drooling Level,3
Rottweilers,Coat Type,Smooth
Rottweilers,Coat Length,Short
Rottweilers,Openness To Strangers,3
Rottweilers,Playfulness Level,4
Rottweilers,Watchdog/Protective Nature,5
Rottweilers,Adaptability Level,4
Rottweilers,Trainability Level,5
Rottweilers,Energy Level,3
Rottweilers,Barking Level,1
Rottweilers,Mental Stimulation Needs,5
Pointers (German Shorthaired),Affectionate With Family,5
Pointers (German Shorthaired),Good With Young Children,5
Pointers (German Shorthaired),Good With Other Dogs,4
Pointers (German Shorthaired),Shedding Level,3
Pointers (German Shorthaired),Coat Grooming Frequency,2
Pointers (German Shorthaired),Drooling Level,2
Pointers (German Shorthaired),Coat Type,Smooth
Pointers (German Shorthaired),Coat Length,Short
Pointers (German Shorthaired),Openness To Strangers,4
Pointers (German Shorthaired),Playfulness Level,4
Pointers (German Shorthaired),Watchdog/Protective Nature,4
Pointers (German Shorthaired),Adaptability Level,4
Pointers (German Shorthaired),Trainability Level,5
Pointers (German Shorthaired),Energy Level,5
Pointers (German Shorthaired),Barking Level,3
Pointers (German Shorthaired),Mental Stimulation Needs,5
Dachshunds,Affectionate With Family,5
Dachshunds,Good With Young Children,3
Dachshunds,Good With Other Dogs,4
Dachshunds,Shedding Level,2
Dachshunds,Coat Grooming Frequency,2
Dachshunds,Drooling Level,2
Dachshunds,Coat Type,Smooth
Dachshunds,Coat Length,Short
Dachshunds,Openness To Strangers,4
Dachshunds,Playfulness Level,4
Dachshunds,Watchdog/Protective Nature,4
Dachshunds,Adaptability Level,4
Dachshunds,Trainability Level,4
Dachshunds,Energy Level,3
Dachshunds,Barking Level,5
Dachshunds,Mental Stimulation Needs,3
Pembroke Welsh Corgis,Affectionate With Family,5
Pembroke Welsh Corgis,Good With Young Children,3
Pembroke Welsh Corgis,Good With Other Dogs,4
Pembroke Welsh Corgis,Shedding Level,4
Pembroke Welsh Corgis,Coat Grooming Frequency,2
Pembroke Welsh Corgis,Drooling Level,1
Pembroke Welsh Corgis,Coat Type,Double
Pembroke Welsh Corgis,Coat Length,Short
Pembroke Welsh Corgis,Openness To Strangers,4
Pembroke Welsh Corgis,Playfulness Level,4
Pembroke Welsh Corgis,Watchdog/Protective Nature,5
Pembroke Welsh Corgis,Adaptability Level,4
Pembroke Welsh Corgis,Trainability Level,4
Pembroke Welsh Corgis,Energy Level,4
Pembroke Welsh Corgis,Barking Level,4
Pembroke Welsh Corgis,Mental Stimulation Needs,4
Australian Shepherds,Affectionate With Family,3
Australian Shepherds,Good With Young Children,5
Australian Shepherds,Good With Other Dogs,3
Australian Shepherds,Shedding Level,3
Australian Shepherds,Coat Grooming Frequency,2
Australian Shepherds,Drooling Level,1
Australian Shepherds,Coat Type,Double
Australian Shepherds,Coat Length,Medium
Australian Shepherds,Openness To Strangers,3
Australian Shepherds,Playfulness Level,4
Australian Shepherds,Watchdog/Protective Nature,3
Australian Shepherds,Adaptability Level,3
Australian Shepherds,Trainability Level,5
Australian Shepherds,Energy Level,5
Australian Shepherds,Barking Level,3
Australian Shepherds,Mental Stimulation Needs,5
Yorkshire Terriers,Affectionate With Family,5
Yorkshire Terriers,Good With Young Children,5
Yorkshire Terriers,Good With Other Dogs,3
Yorkshire Terriers,Shedding Level,1
Yorkshire Terriers,Coat Grooming Frequency,5
Yorkshire Terriers,Drooling Level,1
Yorkshire Terriers,Coat Type,Silky
Yorkshire Terriers,Coat Length,Long
Yorkshire Terriers,Openness To Strangers,5
Yorkshire Terriers,Playfulness Level,4
Yorkshire Terriers,Watchdog/Protective Nature,5
Yorkshire Terriers,Adaptability Level,5
Yorkshire Terriers,Trainability Level,4
Yorkshire Terriers,Energy Level,4
Yorkshire Terriers,Barking Level,4
Yorkshire Terriers,Mental Stimulation Needs,4
Boxers,Affectionate With Family,4
Boxers,Good With Young Children,5
Boxers,Good With Other Dogs,3
Boxers,Shedding Level,2
Boxers,Coat Grooming Frequency,2
Boxers,Drooling Level,3
Boxers,Coat Type,Smooth
Boxers,Coat Length,Short
Boxers,Openness To Strangers,4
Boxers,Playfulness Level,4
Boxers,Watchdog/Protective Nature,4
Boxers,Adaptability Level,3
Boxers,Trainability Level,4
Boxers,Energy Level,4
Boxers,Barking Level,3
Boxers,Mental Stimulation Needs,4
Great Danes,Affectionate With Family,5
Great Danes,Good With Young Children,3
Great Danes,Good With Other Dogs,3
Great Danes,Shedding Level,3
Great Danes,Coat Grooming Frequency,1
Great Danes,Drooling Level,4
Great Danes,Coat Type,Smooth
Great Danes,Coat Length,Short
Great Danes,Openness To Strangers,3
Great Danes,Playfulness Level,4
Great Danes,Watchdog/Protective Nature,5
Great Danes,Adaptability Level,4
Great Danes,Trainability Level,3
Great Danes,Energy Level,4
Great Danes,Barking Level,3
Great Danes,Mental Stimulation Needs,4
Siberian Huskies,Affectionate With Family,5
Siberian Huskies,Good With Young Children,5
Siberian Huskies,Good With Other Dogs,5
Siberian Huskies,Shedding Level,4
Siberian Huskies,Coat Grooming Frequency,2
Siberian Huskies,Drooling Level,1
Siberian Huskies,Coat Type,Double
Siberian Huskies,Coat Length,Medium
Siberian Huskies,Openness To Strangers,5
Siberian Huskies,Playfulness Level,5
Siberian Huskies,Watchdog/Protective Nature,1
Siberian Huskies,Adaptability Level,4
Siberian Huskies,Trainability Level,3
Siberian Huskies,Energy Level,5
Siberian Huskies,Barking Level,5
Siberian Huskies,Mental Stimulation Needs,4
Cavalier King Charles Spaniels,Affectionate With Family,5
Cavalier King Charles Spaniels,Good With Young Children,5
Cavalier King Charles Spaniels,Good With Other Dogs,5
Cavalier King Charles Spaniels,Shedding Level,2
Cavalier King Charles Spaniels,Coat Grooming Frequency,2
Cavalier King Charles Spaniels,Drooling Level,2
Cavalier King Charles Spaniels,Coat Type,Wavy
Cavalier King Charles Spaniels,Coat Length,Medium
Cavalier King Charles Spaniels,Openness To Strangers,4
Cavalier King Charles Spaniels,Playfulness Level,3
Cavalier King Charles Spaniels,Watchdog/Protective Nature,3
Cavalier King Charles Spaniels,Adaptability Level,3
Cavalier King Charles Spaniels,Trainability Level,4
Cavalier King Charles Spaniels,Energy Level,3
Cavalier King Charles Spaniels,Barking Level,3
Cavalier King Charles Spaniels,Mental Stimulation Needs,3
Doberman Pinschers,Affectionate With Family,5
Doberman Pinschers,Good With Young Children,5
Doberman Pinschers,Good With Other Dogs,3
Doberman Pinschers,Shedding Level,4
Doberman Pinschers,Coat Grooming Frequency,1
Doberman Pinschers,Drooling Level,2
Doberman Pinschers,Coat Type,Smooth
Doberman Pinschers,Coat Length,Short
Doberman Pinschers,Openness To Strangers,4
Doberman Pinschers,Playfulness Level,4
Doberman Pinschers,Watchdog/Protective Nature,5
Doberman Pinschers,Adaptability Level,4
Doberman Pinschers,Trainability Level,5
Doberman Pinschers,Energy Level,5
Doberman Pinschers,Barking Level,3
Doberman Pinschers,Mental Stimulation Needs,4
Miniature Schnauzers,Affectionate With Family,5
Miniature Schnauzers,Good With Young Children,5
Miniature Schnauzers,Good With Other Dogs,3
Miniature Schnauzers,Shedding Level,3
Miniature Schnauzers,Coat Grooming Frequency,4
Miniature Schnauzers,Drooling Level,2
Miniature Schnauzers,Coat Type,Wiry
Miniature Schnauzers,Coat Length,Medium
Miniature Schnauzers,Openness To Strangers,3
Miniature Schnauzers,Playfulness Level,4
Miniature Schnauzers,Watchdog/Protective Nature,4
Miniature Schnauzers,Adaptability Level,5
Miniature Schnauzers,Trainability Level,5
Miniature Schnauzers,Energy Level,3
Miniature Schnauzers,Barking Level,5
Miniature Schnauzers,Mental Stimulation Needs,4
Shih Tzu,Affectionate With Family,5
Shih Tzu,Good With Young Children,5
Shih Tzu,Good With Other Dogs,5
Shih Tzu,Shedding Level,1
Shih Tzu,Coat Grooming Frequency,4
Shih Tzu,Drooling Level,1
Shih Tzu,Coat Type,Double
Shih Tzu,Coat Length,Long
Shih Tzu,Openness To Strangers,3
Shih Tzu,Playfulness Level,3
Shih Tzu,Watchdog/Protective Nature,3
